ANO,MES,TOTAL,Weighted_average
2022,10,2450901,648.7533683010134
2012,10,4443441,567.5236231638822
2007,6,1366528,681.8399205044295
2005,5,1172091,941.1758240525143
2010,12,3244644,606.2917225013026
2010,7,3769932,560.4013025134553
2015,2,4035571,453.1414966546845
2019,10,3387866,566.6081736524822
2017,3,3558829,419.40652209786623
2008,8,1264810,962.6180891890206
2017,8,3440806,483.6537228690032
2002,3,1226532,787.9549816943577
2014,4,4826291,522.3922381884497
2009,11,1017253,688.5498197140498
2004,6,1001432,1024.4386009902155
2020,6,787037,347.2303396900996
2005,10,1291427,1019.2064517120989
2019,5,3090420,565.9292972862969
2017,10,3556089,522.3189454987189
2018,10,3242480,532.2681120793792
2021,8,2457962,609.7873685762827
2015,12,3286404,520.9024636241458
2016,7,3245316,469.32289518478916
2016,11,3398252,536.1056074827017
2021,6,1886100,460.79027873004355
2003,2,920472,933.7543845973847
2004,8,1483618,988.2836160284033
2019,3,3228948,440.87090023331876
2021,5,1682224,468.0302538295827
2012,8,4658578,474.3134297245826
2013,2,3341095,558.2110287643438
2012,4,4119297,486.66429496184145
2012,12,2897055,698.7903910411354
2006,12,1223111,804.3272471929517
2002,12,968758,1264.7817875518235
2021,10,3402952,611.2294694837999
2020,11,2714050,461.68947218797484
2007,1,1477480,646.192126760734
2020,3,2075689,416.9917204253208
2007,10,1647593,796.4486395022303
2006,7,1421888,1068.4974682914924
2004,10,1280900,1250.1209670506291
2003,10,1233426,1073.4775364751233
2002,8,1037079,1018.7522119172429
2005,6,1203924,943.2063469414015
2003,3,1286176,863.0567191667913
2018,1,3366209,486.7843635948531
2018,3,3142734,461.99962723600254
2014,10,4571031,530.3763700026116
2020,9,1889955,459.55079649741333
2016,5,3495768,422.25749851688516
2002,11,1063245,1198.085543436292
2014,12,3915556,535.5540577660621
2009,3,1251894,730.141599526562
2018,8,3066826,498.2489725888574
2006,6,1239580,838.8760931143281
2002,5,1139840,726.0075244216488
2013,9,4166660,560.3161055177504
2022,2,1837818,518.3545384261243
2008,1,1349469,797.4374333526238
2013,10,4527674,608.5158792483242
2014,5,4839751,497.2806941522635
2019,8,3438698,518.045155459181
2009,1,1232824,896.421063366943
2003,12,1169646,1048.9048222036768
2008,6,937832,921.2409639136462
2003,9,1173627,1082.8315936280903
2022,7,1932906,599.5996891300564
2021,11,3792823,570.6022953868905
2007,9,1500750,695.5539528155704
2003,1,811043,1104.442390329736
2016,2,3384919,467.9416012597852
2008,12,1277635,862.953067316105
2005,11,1136410,1085.4799624145903
2008,10,1389831,927.7502145503341
2019,6,3248294,519.2728410148449
2017,7,3427314,468.70346036031685
2004,7,1396541,1107.951373794187
2014,1,4623128,554.5766428341955
2021,9,3041819,603.3248805730485
2013,12,3790080,601.6870962138461
2010,11,3988839,604.1208754513896
2011,3,4099818,472.7383445748529
2008,9,1182498,941.7683102154716
2014,8,4451889,540.4772123651417
2019,1,3496805,477.71198086990523
2013,3,3979300,556.1908778017457
2006,10,1297628,1032.926296776011
2004,4,1097595,918.8949269423711
2007,8,1325226,911.7603940063156
2013,6,4300844,553.1474399077197
2010,6,1287370,519.0609510663977
2022,11,2456623,641.6134401928867
2012,9,4256977,505.8052162245391
2012,7,4820552,497.65165568254184
2015,4,4258956,397.6733163274766
2015,8,3851621,523.7436266651162
2010,5,1513525,564.9033916012897
2019,2,2701915,484.87429759416904
2005,1,1135198,1238.6821023772015
2002,6,1180366,798.0086771839664
2016,9,2916480,528.0414166124068
2003,11,1162474,1075.7352375908806
2022,3,2078861,675.2865362073026
2005,8,1128805,944.187328828168
2011,2,3403989,557.1561014981991
2010,9,3693463,560.0151856886496
2005,3,1355777,1035.3367579253388
2008,11,1502603,899.7906932977638
2020,12,1868805,491.6545493887692
2009,12,1335129,647.2973657445206
2011,4,3652619,494.33779510246643
2004,2,994456,1052.671513929653
2002,9,1093109,1006.8981559889805
2018,5,3423203,432.3827326842482
2021,12,2421438,522.9791799074773
2015,11,4235254,512.1816335415599
2011,12,3658163,604.5918796604941
2016,10,3143825,544.9798432922194
2021,7,2141195,523.4064485022835
2011,8,4789194,476.56143959907854
2015,9,3674112,546.6643378400486
2009,10,1057652,676.9375878873245
2009,9,1054123,580.3236162326743
2013,7,4386910,603.9015731812278
2017,12,2745175,568.7734511734867
2014,9,4660215,505.9186649909615
2020,4,509942,348.8099936576371
2003,5,1075204,1032.7619553853815
2009,6,1085970,580.6659069072415
2013,4,5379835,460.01043400639423
2017,9,3419982,497.8491583299996
2014,3,4291257,554.9314197763321
2009,5,1189920,646.608175528011
2015,10,3737626,553.9154277950907
2021,3,1222017,397.78808683993026
2016,6,3487816,445.72302473880376
2013,11,5457715,546.7261512510714
2007,4,1681049,543.3256226297112
2005,7,1033439,1064.5020222529301
2008,7,1200280,1225.4605010988012
2011,5,4167279,517.7160324000245
2013,5,4502043,503.79078794127025
2021,2,1443330,476.56704525656943
2011,7,4986736,435.71981828092373
2010,8,3541842,514.7706370739218
2006,9,1408463,965.6577587779527
2016,12,2839457,494.65008249432117
2014,2,3772074,589.707423401352
2016,1,4106748,469.4230421458965
2012,11,3867037,667.9584560152775
2016,4,3483048,430.10584075696755
2020,1,3400662,449.61138469447525
2014,6,3651053,497.67602910568604
2003,7,1222330,1070.1421599602158
2004,9,1191945,1172.267292829431
2003,4,1007562,965.5842932402203
2004,11,1263059,1254.4309083098915
2002,2,1150345,843.79189334747
2011,6,4175795,530.0672775350382
2019,4,2639828,557.6415721975362
2017,4,2974308,434.3886829126403
2004,12,1182228,1213.644880347281
2010,10,4085497,560.0760555409479
2015,3,5382796,419.7861683866818
2011,11,4218568,619.3124477213161
2010,2,1305297,540.2743391696175
2010,3,1548027,582.0014724035743
2019,9,3427642,505.94288814861335
2020,8,1519742,393.40592592736283
2009,7,1283062,691.5848599340482
2012,1,4156341,566.9729475735112
2022,1,2113321,506.0135571235609
2006,3,1753343,841.1154872063684
2018,9,3235904,492.6700387380644
2008,5,1099302,1213.8599917918657
2006,1,1301457,1197.626709311591
2007,5,1873309,552.649665183461
2008,4,1177353,996.6510235330933
2022,5,2274789,692.3496904928099
2021,1,1858809,419.997695687014
2006,4,1451199,917.0194027534743
2002,7,1311443,988.2127863929464
2015,7,3908848,525.430917474932
2019,12,2585896,537.3153593880785
2002,4,1158974,743.1067764889458
2012,2,3367085,568.7709749263887
2007,11,1487857,806.3125286144048
2018,7,3218317,465.0096331886524
2020,7,1341775,319.8089003049232
2008,3,1112431,919.194654176455
2005,12,1026765,1141.3602763761921
2015,6,3892446,480.3856766701833
2014,11,5029709,549.4792518908296
2020,2,3006099,458.56388851616896
2020,10,2106124,510.97556348823434
2002,1,1312446,877.889162472426
2022,6,2319374,630.2273937932163
2018,12,2498232,564.4445861323532
2009,2,1002724,752.4660956617719
2018,11,3589678,521.6263463219661
2009,4,1286594,706.7867923295013
2010,4,1525852,538.4037015915682
2003,8,1214341,1072.5867485967544
2012,3,4913493,490.6457223034886
2011,10,4074656,583.4315419479045
2007,2,1355646,627.8309061202077
2012,5,4780002,472.3170654015189
2013,1,3832488,585.0686261685191
2004,1,1026688,1062.969359322564
2018,6,3549779,390.5666756015676
2006,2,1199472,1119.4356738402478
2002,10,1099671,1078.384574914884
2013,8,4362957,580.6733890126382
2016,8,3311879,470.0634502989427
2017,2,2957363,434.4068542800877
2007,12,1310026,811.4656813286695
2017,11,3574510,514.500186984092
2015,1,4706746,499.8882840928504
2017,5,3384135,420.8972610640587
2022,9,2124662,707.4914147093634
2011,1,3914722,526.5778381781453
2007,7,1161597,816.2441936217382
2006,8,1570532,1099.7883695471228
2004,3,1274445,996.0992633158003
2015,5,4244397,444.81688384290004
2019,7,3247320,522.3505128770854
2005,2,1025004,1203.2601150113424
2003,6,1076075,1054.4888514061197
2018,2,2709722,464.8390639884485
2006,5,1162300,805.7979699289525
2019,11,3986521,486.4382583599887
2020,5,461570,387.3900707163632
2008,2,755770,871.774521496402
2007,3,1804102,583.2698611536347
2012,6,4591935,488.9729010928056
2010,1,1077470,649.2178627806932
2006,11,1472300,706.8972632753973
2017,6,3379755,435.302841761317
2005,4,1128479,988.2855422072766
2022,4,2022845,675.7092120328956
2021,4,1360092,372.7992384578674
2017,1,3301463,463.627946853138
2022,12,1826543,654.8530195077548
2011,9,4221642,554.7629009210475
2004,5,1377461,936.4240978831709
2014,7,4933521,516.6036173906024
2018,4,3434089,424.45745672608564
2022,8,2080709,694.48644680362
2016,3,3828383,450.5754887192791
2005,9,1163289,907.1973564373948
2009,8,1684868,685.0704016618265
