ANO,MES,Total,Weighted_average
2022,10,2450901,638.356869621899
2005,5,1172091,358.0753187198903
2007,6,1366528,280.3493941729688
2012,10,4443441,309.6230932886985
2010,7,3769932,269.26695004277366
2010,12,3244644,297.41820582242116
2015,2,4035571,287.68583991579476
2019,10,3387866,457.5389980380573
2017,3,3558829,311.58316691810654
2008,8,1264810,423.18763440320697
2002,3,1226532,222.55850967275444
2017,8,3440806,361.86827366098265
2004,6,1001432,362.4799109926439
2009,11,1017253,318.4450898270666
2014,4,4826291,314.55906476937975
2005,10,1291427,392.59157677664433
2020,6,787037,284.8850716701666
2019,5,3090420,455.16809335379253
2017,10,3556089,392.16644911845674
2018,10,3242480,417.7222222965383
2021,8,2457962,548.6860594332501
2015,12,3286404,358.0826823127285
2016,7,3245316,340.10769742516
2003,2,920472,300.8120272505442
2004,8,1483618,355.37454252001515
2016,11,3398252,393.57643041782995
2021,6,1886100,408.51120720246496
2012,8,4658578,256.25325448811697
2013,2,3341095,313.28309506181023
2019,3,3228948,349.9512240258691
2021,5,1682224,411.5140849640566
2012,4,4119297,258.994936859697
2012,12,2897055,385.788251632872
2002,12,968758,390.2913940369771
2006,12,1223111,323.3362854445373
2021,10,3402952,561.2039493257212
2007,1,1477480,261.0137630555724
2020,11,2714050,387.8116955665005
2003,10,1233426,365.4500575428773
2004,10,1280900,454.12361551154737
2006,7,1421888,424.8813588259195
2007,10,1647593,331.32006765471806
2020,3,2075689,344.25273428880416
2002,8,1037079,297.1244082268896
2005,6,1203924,360.60625354625046
2003,3,1286176,282.4017442624139
2018,1,3366209,369.66850671538003
2018,3,3142734,352.9902244398609
2014,10,4571031,326.97377226116515
2020,9,1889955,380.2899862718012
2002,11,1063245,358.872392075994
2016,5,3495768,302.5731921045917
2014,12,3915556,333.24342395623984
2009,3,1251894,329.6207402916377
2006,6,1239580,334.27591367945683
2018,8,3066826,389.50673401136726
2002,5,1139840,207.9421188985294
2008,1,1349469,336.46274189323077
2013,9,4166660,322.4712151531907
2022,2,1837818,492.6544820705943
2013,10,4527674,351.43685553642683
2003,9,1173627,365.781188357035
2003,12,1169646,359.33763140655844
2008,6,937832,399.9027600359126
2009,1,1232824,400.5509592204317
2014,5,4839751,301.4442948832358
2019,8,3438698,418.03161612576264
2022,7,1932906,597.9104996539972
2003,1,811043,347.9705511231306
2007,9,1500750,288.828538123829
2021,11,3792823,530.4506098933219
2005,11,1136410,421.2560734303553
2008,12,1277635,384.51975776263527
2016,2,3384919,328.8884639234843
2008,10,1389831,410.06428015347615
2019,6,3248294,418.18594045001066
2004,7,1396541,394.8128491246722
2017,7,3427314,349.8428894429873
2013,12,3790080,351.36083349608543
2014,1,4623128,326.82958088877
2021,9,3041819,547.5941536149718
2008,9,1182498,415.18088817062863
2010,11,3988839,293.91369723741144
2011,3,4099818,237.18352422049756
2004,4,1097595,322.2926414498591
2006,10,1297628,412.58764477547834
2013,3,3979300,314.022232371607
2014,8,4451889,330.4862047066344
2019,1,3496805,376.36669387799384
2007,8,1325226,376.8371074230106
2013,6,4300844,316.6648521405164
2010,6,1287370,249.40329926073267
2012,7,4820552,267.71077120732997
2012,9,4256977,274.3874131725858
2022,11,2456623,635.0562378691677
2015,4,4258956,258.9243138767106
2010,5,1513525,270.26800898212775
2015,8,3851621,350.8660509618118
2002,6,1180366,229.0444569823701
2005,1,1135198,458.9800538848923
2019,2,2701915,383.2319531611041
2003,11,1162474,367.28035119496985
2016,9,2916480,386.3418031405168
2005,8,1128805,361.8111598571104
2022,3,2078861,648.2879025932546
2005,3,1355777,388.1344771539863
2010,9,3693463,269.2160192891686
2011,2,3403989,277.3191796563445
2008,11,1502603,399.4957943648433
2009,12,1335129,300.5936756399479
